Direction,TriggerLevel,TriggerTime,GoalLevel,GoalTime,NumHits,NumTriggers,PctCompletion
Downside,-0.786,1200,-0.618,1200,38,45,84.44
Downside,-0.786,1200,-0.618,1300,7,45,15.56
Downside,-0.786,1200,-0.5,1200,38,45,84.44
Downside,-0.786,1200,-0.5,1300,7,45,15.56
Downside,-0.786,1200,-0.382,1200,38,45,84.44
Downside,-0.786,1200,-0.382,1300,7,45,15.56
Downside,-0.786,1200,-0.236,1200,38,45,84.44
Downside,-0.786,1200,-0.236,1300,7,45,15.56
Downside,-0.786,1200,0.0,1200,38,45,84.44
Downside,-0.786,1200,0.0,1300,7,45,15.56
Downside,-0.786,1200,0.236,1200,38,45,84.44
Downside,-0.786,1200,0.236,1300,7,45,15.56
Downside,-0.786,1200,0.382,1200,38,45,84.44
Downside,-0.786,1200,0.382,1300,7,45,15.56
Downside,-0.786,1200,0.5,1200,38,45,84.44
Downside,-0.786,1200,0.5,1300,7,45,15.56
Downside,-0.786,1200,0.618,1200,38,45,84.44
Downside,-0.786,1200,0.618,1300,7,45,15.56
Downside,-0.786,1200,0.786,1200,38,45,84.44
Downside,-0.786,1200,0.786,1300,7,45,15.56
Downside,-0.786,1200,1.0,1200,38,45,84.44
Downside,-0.786,1200,1.0,1300,7,45,15.56
Downside,-0.786,1300,-1.0,1300,11,42,26.19
Downside,-0.786,1300,-1.0,1400,9,42,21.43
Downside,-0.786,1300,-1.0,1500,6,42,14.29
Downside,-0.786,1300,-0.618,1300,36,42,85.71
Downside,-0.786,1300,-0.618,1400,6,42,14.29
Downside,-0.786,1300,-0.5,1300,36,42,85.71
Downside,-0.786,1300,-0.5,1400,6,42,14.29
Downside,-0.786,1300,-0.382,1300,36,42,85.71
Downside,-0.786,1300,-0.382,1400,6,42,14.29
Downside,-0.786,1300,-0.236,1300,36,42,85.71
Downside,-0.786,1300,-0.236,1400,6,42,14.29
Downside,-0.786,1300,0.0,1300,36,42,85.71
Downside,-0.786,1300,0.0,1400,6,42,14.29
Downside,-0.786,1300,0.236,1300,36,42,85.71
Downside,-0.786,1300,0.236,1400,6,42,14.29
Downside,-0.786,1300,0.382,1300,36,42,85.71
Downside,-0.786,1300,0.382,1400,6,42,14.29
Downside,-0.786,1300,0.5,1300,36,42,85.71
Downside,-0.786,1300,0.5,1400,6,42,14.29
Downside,-0.786,1300,0.618,1300,36,42,85.71
Downside,-0.786,1300,0.618,1400,6,42,14.29
Downside,-0.786,1300,0.786,1300,36,42,85.71
Downside,-0.786,1300,0.786,1400,6,42,14.29
Downside,-0.786,1300,1.0,1300,36,42,85.71
Downside,-0.786,1300,1.0,1400,6,42,14.29
Downside,-0.786,1400,-1.0,1400,18,47,38.3
Downside,-0.786,1400,-1.0,1500,10,47,21.28
Downside,-0.786,1400,-0.618,1400,38,47,80.85
Downside,-0.786,1400,-0.618,1500,9,47,19.15
Downside,-0.786,1400,-0.5,1400,38,47,80.85
Downside,-0.786,1400,-0.5,1500,9,47,19.15
Downside,-0.786,1400,-0.382,1400,38,47,80.85
Downside,-0.786,1400,-0.382,1500,9,47,19.15
Downside,-0.786,1400,-0.236,1400,38,47,80.85
Downside,-0.786,1400,-0.236,1500,9,47,19.15
Downside,-0.786,1400,0.0,1400,38,47,80.85
Downside,-0.786,1400,0.0,1500,9,47,19.15
Downside,-0.786,1400,0.236,1400,38,47,80.85
Downside,-0.786,1400,0.236,1500,9,47,19.15
Downside,-0.786,1400,0.382,1400,38,47,80.85
Downside,-0.786,1400,0.382,1500,9,47,19.15
Downside,-0.786,1400,0.5,1400,38,47,80.85
Downside,-0.786,1400,0.5,1500,9,47,19.15
Downside,-0.786,1400,0.618,1400,38,47,80.85
Downside,-0.786,1400,0.618,1500,9,47,19.15
Downside,-0.786,1400,0.786,1400,38,47,80.85
Downside,-0.786,1400,0.786,1500,9,47,19.15
Downside,-0.786,1400,1.0,1400,38,47,80.85
Downside,-0.786,1400,1.0,1500,9,47,19.15
Downside,-0.786,1500,-1.0,1500,27,72,37.5
Downside,-0.786,1500,-1.0,1600,1,72,1.39
Downside,-0.786,1500,-0.618,1500,52,72,72.22
Downside,-0.786,1500,-0.618,1600,20,72,27.78
Downside,-0.786,1500,-0.5,1500,52,72,72.22
Downside,-0.786,1500,-0.5,1600,20,72,27.78
Downside,-0.786,1500,-0.382,1500,52,72,72.22
Downside,-0.786,1500,-0.382,1600,20,72,27.78
Downside,-0.786,1500,-0.236,1500,52,72,72.22
Downside,-0.786,1500,-0.236,1600,20,72,27.78
Downside,-0.786,1500,0.0,1500,52,72,72.22
Downside,-0.786,1500,0.0,1600,20,72,27.78
Downside,-0.786,1500,0.236,1500,52,72,72.22
Downside,-0.786,1500,0.236,1600,20,72,27.78
Downside,-0.786,1500,0.382,1500,52,72,72.22
Downside,-0.786,1500,0.382,1600,20,72,27.78
Downside,-0.786,1500,0.5,1500,52,72,72.22
Downside,-0.786,1500,0.5,1600,20,72,27.78
Downside,-0.786,1500,0.618,1500,52,72,72.22
Downside,-0.786,1500,0.618,1600,20,72,27.78
Downside,-0.786,1500,0.786,1500,52,72,72.22
Downside,-0.786,1500,0.786,1600,20,72,27.78
Downside,-0.786,1500,1.0,1500,52,72,72.22
Downside,-0.786,1500,1.0,1600,20,72,27.78
Downside,-0.786,OPEN,-1.0,0900,1,26,3.85
Downside,-0.786,OPEN,-1.0,OPEN,25,26,96.15
Downside,-0.786,OPEN,-0.618,0900,26,26,100.0
Downside,-0.786,OPEN,-0.5,0900,26,26,100.0
Downside,-0.786,OPEN,-0.382,0900,26,26,100.0
Downside,-0.786,OPEN,-0.236,0900,26,26,100.0
Downside,-0.786,OPEN,0.0,0900,26,26,100.0
Downside,-0.786,OPEN,0.236,0900,26,26,100.0
Downside,-0.786,OPEN,0.382,0900,26,26,100.0
Downside,-0.786,OPEN,0.5,0900,26,26,100.0
Downside,-0.786,OPEN,0.618,0900,26,26,100.0
Downside,-0.786,OPEN,0.786,0900,26,26,100.0
Downside,-0.786,OPEN,1.0,0900,26,26,100.0
Downside,-0.618,0900,-1.0,0900,32,326,9.82
Downside,-0.618,0900,-1.0,1000,57,326,17.48
Downside,-0.618,0900,-1.0,1100,18,326,5.52
Downside,-0.618,0900,-1.0,1200,7,326,2.15
Downside,-0.618,0900,-1.0,1300,7,326,2.15
Downside,-0.618,0900,-1.0,1400,9,326,2.76
Downside,-0.618,0900,-1.0,1500,8,326,2.45
Downside,-0.618,0900,-1.0,OPEN,87,326,26.69
Downside,-0.618,0900,-0.786,0900,56,326,17.18
Downside,-0.618,0900,-0.786,1000,51,326,15.64
Downside,-0.618,0900,-0.786,1100,14,326,4.29
Downside,-0.618,0900,-0.786,1200,4,326,1.23
Downside,-0.618,0900,-0.786,1300,6,326,1.84
Downside,-0.618,0900,-0.786,1400,3,326,0.92
Downside,-0.618,0900,-0.786,1500,7,326,2.15
Downside,-0.618,0900,-0.786,OPEN,143,326,43.87
Downside,-0.618,0900,-0.5,0900,282,326,86.5
Downside,-0.618,0900,-0.5,1000,35,326,10.74
Downside,-0.618,0900,-0.5,1100,2,326,0.61
Downside,-0.618,0900,-0.5,1200,3,326,0.92
Downside,-0.618,0900,-0.382,0900,291,326,89.26
Downside,-0.618,0900,-0.382,1000,33,326,10.12
Downside,-0.618,0900,-0.236,0900,295,326,90.49
Downside,-0.618,0900,-0.236,1000,31,326,9.51
Downside,-0.618,0900,0.0,0900,296,326,90.8
Downside,-0.618,0900,0.0,1000,30,326,9.2
Downside,-0.618,0900,0.236,0900,296,326,90.8
Downside,-0.618,0900,0.236,1000,30,326,9.2
Downside,-0.618,0900,0.382,0900,296,326,90.8
Downside,-0.618,0900,0.382,1000,30,326,9.2
Downside,-0.618,0900,0.5,0900,296,326,90.8
Downside,-0.618,0900,0.5,1000,30,326,9.2
Downside,-0.618,0900,0.618,0900,296,326,90.8
Downside,-0.618,0900,0.618,1000,30,326,9.2
Downside,-0.618,0900,0.786,0900,296,326,90.8
Downside,-0.618,0900,0.786,1000,30,326,9.2
Downside,-0.618,0900,1.0,0900,296,326,90.8
Downside,-0.618,0900,1.0,1000,30,326,9.2
Downside,-0.618,1000,-1.0,1000,26,162,16.05
Downside,-0.618,1000,-1.0,1100,23,162,14.2
Downside,-0.618,1000,-1.0,1200,10,162,6.17
Downside,-0.618,1000,-1.0,1300,8,162,4.94
Downside,-0.618,1000,-1.0,1400,5,162,3.09
Downside,-0.618,1000,-1.0,1500,9,162,5.56
Downside,-0.618,1000,-0.786,1000,72,162,44.44
Downside,-0.618,1000,-0.786,1100,33,162,20.37
Downside,-0.618,1000,-0.786,1200,11,162,6.79
Downside,-0.618,1000,-0.786,1300,2,162,1.23
Downside,-0.618,1000,-0.786,1400,2,162,1.23
Downside,-0.618,1000,-0.786,1500,7,162,4.32
Downside,-0.618,1000,-0.5,1000,135,162,83.33
Downside,-0.618,1000,-0.5,1100,22,162,13.58
Downside,-0.618,1000,-0.5,1200,1,162,0.62
Downside,-0.618,1000,-0.5,1300,1,162,0.62
Downside,-0.618,1000,-0.5,1400,1,162,0.62
Downside,-0.618,1000,-0.5,1500,1,162,0.62
Downside,-0.618,1000,-0.382,1000,138,162,85.19
Downside,-0.618,1000,-0.382,1100,23,162,14.2
Downside,-0.618,1000,-0.382,1500,1,162,0.62
Downside,-0.618,1000,-0.236,1000,139,162,85.8
Downside,-0.618,1000,-0.236,1100,23,162,14.2
Downside,-0.618,1000,0.0,1000,139,162,85.8
Downside,-0.618,1000,0.0,1100,23,162,14.2
Downside,-0.618,1000,0.236,1000,139,162,85.8
Downside,-0.618,1000,0.236,1100,23,162,14.2
Downside,-0.618,1000,0.382,1000,139,162,85.8
Downside,-0.618,1000,0.382,1100,23,162,14.2
Downside,-0.618,1000,0.5,1000,139,162,85.8
Downside,-0.618,1000,0.5,1100,23,162,14.2
Downside,-0.618,1000,0.618,1000,139,162,85.8
Downside,-0.618,1000,0.618,1100,23,162,14.2
Downside,-0.618,1000,0.786,1000,139,162,85.8
Downside,-0.618,1000,0.786,1100,23,162,14.2
Downside,-0.618,1000,1.0,1000,139,162,85.8
Downside,-0.618,1000,1.0,1100,23,162,14.2
Downside,-0.618,1100,-1.0,1100,14,71,19.72
Downside,-0.618,1100,-1.0,1200,8,71,11.27
Downside,-0.618,1100,-1.0,1300,5,71,7.04
Downside,-0.618,1100,-1.0,1400,3,71,4.23
Downside,-0.618,1100,-1.0,1500,5,71,7.04
Downside,-0.618,1100,-0.786,1100,35,71,49.3
Downside,-0.618,1100,-0.786,1200,12,71,16.9
Downside,-0.618,1100,-0.786,1300,2,71,2.82
Downside,-0.618,1100,-0.786,1400,1,71,1.41
Downside,-0.618,1100,-0.786,1500,2,71,2.82
Downside,-0.618,1100,-0.5,1100,64,71,90.14
Downside,-0.618,1100,-0.5,1200,7,71,9.86
Downside,-0.618,1100,-0.382,1100,64,71,90.14
Downside,-0.618,1100,-0.382,1200,7,71,9.86
Downside,-0.618,1100,-0.236,1100,64,71,90.14
Downside,-0.618,1100,-0.236,1200,7,71,9.86
Downside,-0.618,1100,0.0,1100,64,71,90.14
Downside,-0.618,1100,0.0,1200,7,71,9.86
Downside,-0.618,1100,0.236,1100,64,71,90.14
Downside,-0.618,1100,0.236,1200,7,71,9.86
Downside,-0.618,1100,0.382,1100,64,71,90.14
Downside,-0.618,1100,0.382,1200,7,71,9.86
Downside,-0.618,1100,0.5,1100,64,71,90.14
Downside,-0.618,1100,0.5,1200,7,71,9.86
Downside,-0.618,1100,0.618,1100,64,71,90.14
Downside,-0.618,1100,0.618,1200,7,71,9.86
Downside,-0.618,1100,0.786,1100,64,71,90.14
Downside,-0.618,1100,0.786,1200,7,71,9.86
Downside,-0.618,1100,1.0,1100,64,71,90.14
Downside,-0.618,1100,1.0,1200,7,71,9.86
Downside,-0.618,1200,-1.0,1200,8,54,14.81
Downside,-0.618,1200,-1.0,1300,10,54,18.52
Downside,-0.618,1200,-1.0,1400,4,54,7.41
Downside,-0.618,1200,-1.0,1500,4,54,7.41
Downside,-0.618,1200,-0.786,1200,18,54,33.33
Downside,-0.618,1200,-0.786,1300,15,54,27.78
Downside,-0.618,1200,-0.786,1400,4,54,7.41
Downside,-0.618,1200,-0.786,1500,4,54,7.41
Downside,-0.618,1200,-0.5,1200,42,54,77.78
Downside,-0.618,1200,-0.5,1300,12,54,22.22
Downside,-0.618,1200,-0.382,1200,43,54,79.63
Downside,-0.618,1200,-0.382,1300,11,54,20.37
Downside,-0.618,1200,-0.236,1200,43,54,79.63
Downside,-0.618,1200,-0.236,1300,11,54,20.37
