Time,Zone,Frequency,TotalObservations,Percentage,TimeHourly,Time10Min,Granularity
1350,-0.786_to_-0.618,160,3932,4.07,1300,1350,10-Minute
1350,-1.0_to_-0.786,139,3932,3.54,1300,1350,10-Minute
1350,0.0_to_0.236,606,3932,15.41,1300,1350,10-Minute
1350,0.236_to_0.382,335,3932,8.52,1300,1350,10-Minute
1350,0.382_to_0.5,263,3932,6.69,1300,1350,10-Minute
1350,0.5_to_0.618,230,3932,5.85,1300,1350,10-Minute
1350,0.618_to_0.786,218,3932,5.54,1300,1350,10-Minute
1350,0.786_to_1.0,195,3932,4.96,1300,1350,10-Minute
1350,above_1.0,220,3932,5.6,1300,1350,10-Minute
1350,below_-1.0,212,3932,5.39,1300,1350,10-Minute
1400,-0.236_to_0.0,669,4308,15.53,1400,1400,10-Minute
1400,-0.382_to_-0.236,398,4308,9.24,1400,1400,10-Minute
1400,-0.5_to_-0.382,240,4308,5.57,1400,1400,10-Minute
1400,-0.618_to_-0.5,171,4308,3.97,1400,1400,10-Minute
1400,-0.786_to_-0.618,174,4308,4.04,1400,1400,10-Minute
1400,-1.0_to_-0.786,142,4308,3.3,1400,1400,10-Minute
1400,0.0_to_0.236,658,4308,15.27,1400,1400,10-Minute
1400,0.236_to_0.382,398,4308,9.24,1400,1400,10-Minute
1400,0.382_to_0.5,307,4308,7.13,1400,1400,10-Minute
1400,0.5_to_0.618,245,4308,5.69,1400,1400,10-Minute
1400,0.618_to_0.786,249,4308,5.78,1400,1400,10-Minute
1400,0.786_to_1.0,203,4308,4.71,1400,1400,10-Minute
1400,above_1.0,234,4308,5.43,1400,1400,10-Minute
1400,below_-1.0,220,4308,5.11,1400,1400,10-Minute
1410,-0.236_to_0.0,634,4093,15.49,1400,1410,10-Minute
1410,-0.382_to_-0.236,373,4093,9.11,1400,1410,10-Minute
1410,-0.5_to_-0.382,225,4093,5.5,1400,1410,10-Minute
1410,-0.618_to_-0.5,159,4093,3.88,1400,1410,10-Minute
1410,-0.786_to_-0.618,170,4093,4.15,1400,1410,10-Minute
1410,-1.0_to_-0.786,146,4093,3.57,1400,1410,10-Minute
1410,0.0_to_0.236,620,4093,15.15,1400,1410,10-Minute
1410,0.236_to_0.382,373,4093,9.11,1400,1410,10-Minute
1410,0.382_to_0.5,279,4093,6.82,1400,1410,10-Minute
1410,0.5_to_0.618,223,4093,5.45,1400,1410,10-Minute
1410,0.618_to_0.786,215,4093,5.25,1400,1410,10-Minute
1410,0.786_to_1.0,201,4093,4.91,1400,1410,10-Minute
