Direction,TriggerLevel,TriggerTime,GoalLevel,ActionableTriggers,TotalHits,TotalCompletionRate
Above,-0.5,2000,-0.236,16,0,0.0
Above,-0.5,2000,-0.382,14,7,50.0
Above,-0.5,2000,-0.5,16,16,100.0
Above,-0.5,2000,-0.618,13,6,46.15
Above,-0.5,2000,-0.786,16,4,25.0
Above,-0.5,2000,-1.0,16,2,12.5
Above,-0.5,2000,0.0,16,0,0.0
Below,-0.5,2000,0.236,11,0,0.0
Below,-0.5,2000,0.382,11,0,0.0
Below,-0.5,2000,0.5,11,0,0.0
Below,-0.5,2000,0.618,11,0,0.0
Below,-0.5,2000,0.786,11,0,0.0
Below,-0.5,2000,1.0,11,0,0.0
Below,-0.5,2000,-0.236,11,5,45.45
Below,-0.5,2000,-0.382,11,10,90.91
Below,-0.5,2000,-0.5,11,11,100.0
Below,-0.5,2000,-0.618,9,2,22.22
Below,-0.5,2000,-0.786,11,0,0.0
Below,-0.5,2000,-1.0,11,0,0.0
Below,-0.5,2000,0.0,11,0,0.0
Above,-0.5,3000,0.236,7,0,0.0
Above,-0.5,3000,0.382,7,0,0.0
Above,-0.5,3000,0.5,7,0,0.0
Above,-0.5,3000,0.618,7,0,0.0
Above,-0.5,3000,0.786,7,0,0.0
Above,-0.5,3000,1.0,7,0,0.0
Above,-0.5,3000,-0.236,7,0,0.0
Above,-0.5,3000,-0.382,7,3,42.86
Above,-0.5,3000,-0.5,7,7,100.0
Above,-0.5,3000,-0.618,6,2,33.33
Above,-0.5,3000,-0.786,7,1,14.29
Above,-0.5,3000,-1.0,7,1,14.29
Above,-0.5,3000,0.0,7,0,0.0
Below,-0.5,3000,0.236,7,0,0.0
Below,-0.5,3000,0.382,7,0,0.0
Below,-0.5,3000,0.5,7,0,0.0
Below,-0.5,3000,0.618,7,0,0.0
Below,-0.5,3000,0.786,7,0,0.0
Below,-0.5,3000,1.0,7,0,0.0
Below,-0.5,3000,-0.236,7,0,0.0
Below,-0.5,3000,-0.382,7,4,57.14
Below,-0.5,3000,-0.5,7,7,100.0
Below,-0.5,3000,-0.618,7,2,28.57
Below,-0.5,3000,-0.786,7,0,0.0
Below,-0.5,3000,-1.0,7,0,0.0
Below,-0.5,3000,0.0,7,0,0.0
