Direction,TriggerLevel,TriggerTime,GoalLevel,ActionableTriggers,TotalHits,TotalCompletionRate
Above,-0.786,0900,-0.786,60,47,78.33
Above,-0.786,0900,-1.0,57,13,22.81
Above,-0.786,0900,0.0,61,46,75.41
Below,-0.786,0900,0.236,67,13,19.4
Below,-0.786,0900,0.382,67,5,7.46
Below,-0.786,0900,0.5,67,2,2.99
Below,-0.786,0900,0.618,67,1,1.49
Below,-0.786,0900,0.786,67,1,1.49
Below,-0.786,0900,1.0,67,1,1.49
Below,-0.786,0900,-0.236,59,59,100.0
Below,-0.786,0900,-0.382,54,54,100.0
Below,-0.786,0900,-0.5,51,51,100.0
Below,-0.786,0900,-0.618,50,49,98.0
Below,-0.786,0900,-0.786,65,63,96.92
Below,-0.786,0900,-1.0,64,14,21.88
Below,-0.786,0900,0.0,65,55,84.62
Above,-0.786,1000,0.236,29,1,3.45
Above,-0.786,1000,0.382,29,1,3.45
Above,-0.786,1000,0.5,29,0,0.0
Above,-0.786,1000,0.618,29,0,0.0
Above,-0.786,1000,0.786,29,0,0.0
Above,-0.786,1000,1.0,29,0,0.0
Above,-0.786,1000,-0.236,29,28,96.55
Above,-0.786,1000,-0.382,25,25,100.0
Above,-0.786,1000,-0.5,22,22,100.0
Above,-0.786,1000,-0.618,21,21,100.0
Above,-0.786,1000,-0.786,29,25,86.21
Above,-0.786,1000,-1.0,27,4,14.81
Above,-0.786,1000,0.0,29,18,62.07
Below,-0.786,1000,0.236,59,10,16.95
Below,-0.786,1000,0.382,59,2,3.39
Below,-0.786,1000,0.5,59,0,0.0
Below,-0.786,1000,0.618,59,0,0.0
Below,-0.786,1000,0.786,59,0,0.0
Below,-0.786,1000,1.0,59,0,0.0
Below,-0.786,1000,-0.236,58,58,100.0
Below,-0.786,1000,-0.382,58,58,100.0
Below,-0.786,1000,-0.5,55,55,100.0
Below,-0.786,1000,-0.618,53,53,100.0
Below,-0.786,1000,-0.786,59,59,100.0
Below,-0.786,1000,-1.0,58,12,20.69
Below,-0.786,1000,0.0,58,46,79.31
Above,-0.786,1100,0.236,8,0,0.0
Above,-0.786,1100,0.382,8,0,0.0
Above,-0.786,1100,0.5,8,0,0.0
Above,-0.786,1100,0.618,8,0,0.0
Above,-0.786,1100,0.786,8,0,0.0
Above,-0.786,1100,1.0,8,0,0.0
Above,-0.786,1100,-0.236,8,8,100.0
Above,-0.786,1100,-0.382,8,8,100.0
Above,-0.786,1100,-0.5,8,8,100.0
Above,-0.786,1100,-0.618,8,8,100.0
Above,-0.786,1100,-0.786,8,8,100.0
Above,-0.786,1100,-1.0,8,2,25.0
Above,-0.786,1100,0.0,8,8,100.0
Below,-0.786,1100,0.236,23,1,4.35
Below,-0.786,1100,0.382,23,0,0.0
Below,-0.786,1100,0.5,23,0,0.0
Below,-0.786,1100,0.618,23,0,0.0
Below,-0.786,1100,0.786,23,0,0.0
Below,-0.786,1100,1.0,23,0,0.0
Below,-0.786,1100,-0.236,23,22,95.65
Below,-0.786,1100,-0.382,23,23,100.0
Below,-0.786,1100,-0.5,23,23,100.0
Below,-0.786,1100,-0.618,23,23,100.0
Below,-0.786,1100,-0.786,23,23,100.0
Below,-0.786,1100,-1.0,23,6,26.09
Below,-0.786,1100,0.0,23,17,73.91
Above,-0.786,1200,0.236,9,1,11.11
Above,-0.786,1200,0.382,9,1,11.11
Above,-0.786,1200,0.5,9,0,0.0
Above,-0.786,1200,0.618,9,0,0.0
Above,-0.786,1200,0.786,9,0,0.0
Above,-0.786,1200,1.0,9,0,0.0
Above,-0.786,1200,-0.236,9,9,100.0
Above,-0.786,1200,-0.382,9,9,100.0
Above,-0.786,1200,-0.5,9,9,100.0
Above,-0.786,1200,-0.618,9,9,100.0
Above,-0.786,1200,-0.786,9,6,66.67
Above,-0.786,1200,-1.0,9,3,33.33
Above,-0.786,1200,0.0,9,7,77.78
Below,-0.786,1200,0.236,8,0,0.0
Below,-0.786,1200,0.382,8,0,0.0
