GoalZone,GoalTime,TransitionCount,TriggerZone,TriggerTime,TotalTriggerOccurrences,TransitionPercentage,GoalTimeHourly,GoalTime10Min,Granularity
-0.618_to_-0.5,1140,29,-1.0_to_-0.786,930,152,19.08,1140,1140,10-Minute
-0.618_to_-0.5,1150,32,-1.0_to_-0.786,930,152,21.05,1150,1150,10-Minute
-0.618_to_-0.5,1200,24,-1.0_to_-0.786,930,152,15.79,1200,1200,10-Minute
-0.618_to_-0.5,1210,23,-1.0_to_-0.786,930,152,15.13,1210,1210,10-Minute
-0.618_to_-0.5,1220,28,-1.0_to_-0.786,930,152,18.42,1220,1220,10-Minute
-0.618_to_-0.5,1230,31,-1.0_to_-0.786,930,152,20.39,1230,1230,10-Minute
-0.618_to_-0.5,1240,30,-1.0_to_-0.786,930,152,19.74,1240,1240,10-Minute
-0.618_to_-0.5,1250,27,-1.0_to_-0.786,930,152,17.76,1250,1250,10-Minute
-0.618_to_-0.5,1300,29,-1.0_to_-0.786,930,152,19.08,1300,1300,10-Minute
-0.618_to_-0.5,1310,28,-1.0_to_-0.786,930,152,18.42,1310,1310,10-Minute
-0.618_to_-0.5,1320,26,-1.0_to_-0.786,930,152,17.11,1320,1320,10-Minute
-0.618_to_-0.5,1330,24,-1.0_to_-0.786,930,152,15.79,1330,1330,10-Minute
-0.618_to_-0.5,1340,25,-1.0_to_-0.786,930,152,16.45,1340,1340,10-Minute
-0.618_to_-0.5,1350,19,-1.0_to_-0.786,930,152,12.5,1350,1350,10-Minute
-0.618_to_-0.5,1400,23,-1.0_to_-0.786,930,152,15.13,1400,1400,10-Minute
-0.618_to_-0.5,1410,20,-1.0_to_-0.786,930,152,13.16,1410,1410,10-Minute
-0.618_to_-0.5,1420,20,-1.0_to_-0.786,930,152,13.16,1420,1420,10-Minute
-0.618_to_-0.5,1430,24,-1.0_to_-0.786,930,152,15.79,1430,1430,10-Minute
-0.618_to_-0.5,1440,22,-1.0_to_-0.786,930,152,14.47,1440,1440,10-Minute
